"node_id";"taxonomy_name";"taxonomy_rank"
"TI_PLANT_377";"alchornea_alchornea costaricensis";"species"
"TI_PLANT_378";"alchornea_alchornea sp";"genus"
"TI_PLANT_379";"ampelocera_ampelocera macrocarpa";"species"
"TI_PLANT_380";"anaxagorea_anaxagorea crassipetala";"species"
"TI_PLANT_381";"annona_annona muricata";"species"
"TI_PLANT_382";"anthurium_anthurium sp";"genus"
"TI_PLANT_383";"apeiba_apeiba membranaceae";"species"
"TI_PLANT_384";"aphelandra_aphelandra sp";"genus"
"TI_PLANT_385";"ardisia_ardisia nigropunctata";"species"
"TI_PLANT_386";"aristolochia_aristolochia constricta";"species"
"TI_PLANT_387";"aristolochia_aristolochia sp";"genus"
"TI_PLANT_388";"asterogyne_asterogyne martiana";"species"
"TI_PLANT_389";"astrocaryum_astrocaryum sp";"genus"
"TI_PLANT_390";"bactris_bactris sp";"genus"
"TI_PLANT_391";"bambusa_bambusa vulgaris";"species"
"TI_PLANT_392";"brosimum_brosimum alicastrum";"species"
"TI_PLANT_393";"brosimum_brosimum lactescens";"species"
"TI_PLANT_394";"byttneria_byttneria aculeata";"species"
"TI_PLANT_395";"calathea_calathea sp";"genus"
"TI_PLANT_396";"calyptrogyne_calyptrogyne hiesbreghtiana";"species"
"TI_PLANT_397";"calyptrogyne_calyptrogyne sp";"genus"
"TI_PLANT_398";"capparis_capparis discolor";"species"
"TI_PLANT_399";"capparis_capparis pittieri";"species"
"TI_PLANT_400";"carapa_carapa nicaraguensis";"species"
"TI_PLANT_401";"carica_carica papaya";"species"
"TI_PLANT_402";"casearia_casearia arborea";"species"
"TI_PLANT_403";"casearia_casearia corymbosa";"species"
"TI_PLANT_404";"casearia_casearia sp";"genus"
"TI_PLANT_405";"cassia_cassia senna";"species"
"TI_PLANT_406";"cassia_cassia sp";"genus"
"TI_PLANT_407";"castilla_castilla elastica";"species"
"TI_PLANT_408";"cecropia_cecropia obtusifolia";"species"
